               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11684,            0.042067,                   0,           0.0018961,            0.057631,          0.00091274,          0.00018405,              0.1066,            0.046279,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.10982,            0.039852,                   0,           0.0021186,            0.075774,           0.0011837,           0.0002383,             0.09841,            0.050475,                   0,          0.00040097,          0.00040097,            0.096301
                   2,              0.1044,            0.041646,                   0,           0.0095827,            0.022412,           0.0030221,          0.00058764,            0.093402,            0.052581,                   0,          0.00056672,          0.00056672,            0.094367
                   3,            0.099969,            0.042222,                   0,            0.013849,              0.1334,            0.006964,           0.0013492,            0.089869,            0.052795,                   0,          0.00067604,          0.00067604,            0.092376
                   4,            0.096005,            0.042099,                   0,            0.062584,             0.24973,            0.037532,           0.0063602,            0.086401,            0.049562,                   0,          0.00071662,          0.00071662,            0.090317
                   5,            0.089645,            0.038492,                   0,            0.078219,             0.22625,            0.046648,           0.0085461,            0.082924,            0.044525,                   0,           0.0006875,           0.0006875,            0.088188
                   6,            0.083299,            0.037229,                   0,             0.14047,             0.23906,            0.084356,            0.015709,            0.077999,            0.043417,                   0,          0.00059998,          0.00059998,               0.086
                   7,            0.079414,            0.036031,                   0,             0.16533,             0.32337,             0.11623,            0.020863,             0.07531,            0.042722,                   0,          0.00047678,          0.00047678,            0.083777
                   8,            0.077608,            0.035464,                   0,             0.19425,             0.34685,               0.138,            0.026564,            0.073859,             0.04219,                   0,          0.00034957,          0.00034957,             0.08155
                   9,            0.076122,            0.035909,                   0,             0.22211,             0.32332,             0.15579,            0.030509,             0.07243,            0.041876,                   0,          0.00025503,          0.00025503,            0.079355
